Title,Plot,Cast,Genre,Runtime,Director,Production House,Release Dates,Image URL,Rating,Total Ratings,Movie URL
Karma(2025),"PLOT Karma is an action-drama that delves into themes of redemption and resilience. The story follows Karma, a determined man haunted by personal demons and driven by his late father's dream. After years of relentless effort, Karma travels from Rukum to Dang to take an exam that could change his life. However, a sudden tragedy disrupts his plans, forcing him to confront powerful adversaries and navigate a world where survival demands both strength and sacrifice. Guided by the unseen forces of karma, he must rediscover his purpose and rise above the obstacles to fulfill his destiny","Divya Dev, Sarita Giri, Bipin Karki, Upasana Singh Thakuri, Mukun Bhusal","Action,Drama",2h 15m,Saurav Chaudhary,Artistic Entertainment,"29 Chaitra, 2081, 11 April, 2025",https://img.youtube.com/vi/lYTbSgzqCAw/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/karma-2025
Pitambar(2025),"PLOT Pitambar is an action-drama that follows the journey of Pitambar, a fearless and tactful warrior who has faced immense hardships since childhood. Rejected at an early age, he embarks on a mission to dismantle the corrupt empire in Parasi that tarnished his mother's reputation. Along the way, Pitambar uncovers shocking secrets, battles formidable adversaries, and faces challenges that test his strength and resolve. His mother's unwavering support becomes his greatest source of strength, driving him forward in his quest for justice and the restoration of her dignity. The film blends intense action with emotional depth, offering a powerful story of perseverance, love, and the pursuit of justice.","Dayahang RaiD. Rai, Pradeep KhadkaPitambar, Saugat MallaPitambar, Gaurav BistaMani, Supuspa BhattaBihani, Rabindra Jhahawaldar, Aaryan SigdelPolitician, Tika Pahari, Surbir PanditCharandas, Bishal PahariHridayaraj, Surakshya PantaDurga, Anoop Bikram ShahiBachhuwa, Pramod AgrahariDhananjay, Kameshor ChaurasiyaBhawani, Divya DevRaut, Dibya RayamajhiMira","Action,Drama",2h 30m,Krisha Chaulagain,"Purushottam Pradhan Films,KP Films","29 Chaitra, 2081, 11 April, 2025",https://img.youtube.com/vi/dRFA3t3vUJI/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/pitambar
Basanta(2025),"PLOT Basanta portrays the heartfelt journey of a humble man navigating love, enduring hardships, and witnessing transformative societal change in Nepal. Through his trials and triumphs, the film explores themes of resilience, identity, and the power of personal growth in the face of evolving social landscapes.","Prakash SaputBasanta B.K., Swastima KhadkaShanti Sharma, Maotse Gurung, Khadga Bahadur PunSatya Bahadur Magar, Prabhat Pal ThakuriPrem R Chhetri, Shree ShivanshiSapana B.K., Urmila Lamgade, Siru Bista, Bhola Raj Sapkota, Bishal Pahari, Anu Thapa, Kamal Mani NepalBasanta's Father, Prakash Ghimire, Anup Baral","Drama,Romance",2h 40m,Prakash Saput,Galbandi Production,"22 Chaitra, 2081, 4 April, 2025",https://img.youtube.com/vi/EL7OF3Kqw-4/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/basanta
Dorii(2025),"PLOT Dorii spins a captivating story about a troubled son who has been left behind by his father, drowning in debt. As he chases after wealth, his greed blinds him, pulling him into a dangerous world of rope smuggling. This risky path entangles him in a web of peril and consequences that could completely turn his life upside down.","Arun Lama, Prakash Ghimire, Birendra Singh Kusuha, Raju Poudel, Raj Thapa, Ram Babu Regmi, Gita Adhikari, Puskar Gurung, Sharadha Giri, Gita Shree, Laxmi Giri, Sajan Shrestha, Prem Subba, Prabin Khatiwada, Shishir Bangdel, Kabita Ale, Raj Poudel, Anjana Baraili","Action,Drama,Thriller,Horror",2h 33m,Arun Lama,G. Seven Productions,"15 Chaitra, 2081, 28 March, 2025",https://img.youtube.com/vi/mHPCO6mDc9I/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/dorii
Draupadi(2025),PLOT Draupadi is based on the polyandry tradition practiced in the Humla district of Nepal. The movie explores how this tradition is disappearing in modern society.,"Ashwini Shahi, Ravi Oad, Jlson Adhikari, Sujata Timalsina, Kabiraj Bham, Bishnu Thadarai (Subash), Prakash Gyawali, Suraj Adhikari, Sita Baudel, Rishi Raj Acharya","Drama,Social",2h 4m,Rishi Raj Acharya,RB Movies,"8 Chaitra, 2081, 21 March, 2025",https://img.youtube.com/vi/7uUCmYEDg_8/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/draupadi
11:55(2025),"PLOT 11:55 Do Not Trust Anyone is a movie directed by Keshab Pandey, starring Shristi Shrestha, Mahesh Tripathi, Karishma Shrestha and so on.","Shristi ShresthaSimmy, Mahesh TripathiMukti, Karishma ShresthaShreya, Sagar KhanalManu, Bishal Pahari, Buddhi Tamang, M.S. Agraj","Crime,Thriller",,Keshav Pandey,Bichitra Films,"8 Chaitra, 2081, 21 March, 2025",https://img.youtube.com/vi/qDlehc7F6QE/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/1155
Rajagunj(2025),"PLOT Pooja, Sir Rajagunj is a crime drama directed by Deepak Rauniyar. The film stars Asha Magrati, Nikita Chandak, Dayahang Rai, Reecha Sharma, and Bijay Baral. The plot centers around Inspector Pooja Thapa, who is sent from Kathmandu to a border town in Nepal to investigate the kidnapping of two young boys. Upon her arrival, she encounters political unrest and violent protests, which complicate her investigation. Pooja seeks help from Mamata, a local Madhesi policewoman, and together they navigate systemic discrimination and everyday misogyny to solve the case. The film explores the personal costs and challenges they face in their pursuit of justice.","Dayahang RaiMadan, Nikita ChandakMamta Gupta, Bijay Baral, Asha Magarti, Gaumaya Gurung, Reecha Sharma, Pashupati Rai, Niraj Shrestha, Parmeshwor Kumar Jha","Action,Drama",1h 48m,Deepak Rauniyar,Baasuri Films,"1 Chaitra, 2081, 14 March, 2025",https://img.youtube.com/vi/d9tQ36oQ6UQ/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/rajajung
Outlaw- Dafa 219(2025),"PLOT Outlaw: Dafa 219 is a Nepali action-packed movie directed by Bickee Maharjan. The film stars Sushil Shrestha, Naresh Poudel, Shikshya Sangroula, Suman Bhandari, Hem Gurung, and Sony Lagun. The plot centers around a thrilling story of crime and justice. The protagonist, played by Sushil Shrestha, is a determined individual who takes on a mission to expose a dangerous criminal organization known as ‘Dafa 219.’ As he delves deeper into the investigation, he faces numerous challenges and risks, including betrayal and life-threatening situations. The movie showcases his relentless pursuit of justice and the sacrifices he makes along the way.","Sushil Shrestha, Shikshya Sangroula, Naresh Poudel, Suman Bhandari, Hem Gurung, Sony Lagun","Action,Drama",2h 10m,Bickee Maharjan,"Retrow Films,Shadow Pictures","29 Falgun, 2081, 13 March, 2025",https://img.youtube.com/vi/ycBf-7jUF8g/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/outlawdafa-219
Anjila(2025),"PLOT Anjila is a biographical drama directed by Milan Chams. The film stars Anjila Tumbapo Subba herself in the lead role, along with Dayahang Rai, Srijana Subba, Sunil Thapa, and Buddhi Tamang. The movie is based on the real-life story of Anjila Tumbapo Subba, the captain and goalkeeper of the Nepali national women's football team. The plot follows Anjila's journey from her childhood to her struggles and triumphs in becoming a key player for the national team. The film showcases her dedication, hard work, and the challenges she faced along the way, highlighting her inspiring journey in the world of football.","Srijana Subba, Sunil Thapa, Manju Shrestha, Suraj Tamu, Bedana Rai, Sumeen Gurung, Birup Ghale, Baldip Rai, Dayahang Rai, Maotse Gurung, Buddhi Tamang, Bijay Baral, Anjila Tumbapo Subba","Drama,Biographical",2h 27m,Milan Chams,Moon Love Entertainment,"29 Falgun, 2081, 13 March, 2025",https://img.youtube.com/vi/W1TWyHijP3I/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/anjila
Hostel 3(2025),"PLOT Hostel 3 is the much-anticipated third installment in the popular Nepali movie series. Directed by Sashan Kandel, the film continues to follow the lives of teenagers living in a hostel, capturing their fun, struggles, and personal growth. The story revolves around a group of students navigating their way through school life, friendships, and challenges. With a fresh cast and new characters, the movie aims to resonate with the youth audience, just like its predecessors. The film is expected to be released later this year and is produced by Samman Entertainment in association with Aaron Kan Films.","Ryhaan GiriManav, Padam TamangJit Hang, Ashish GhimireShiva, Hena NagarkotiSahana, Sama ParajuliDiya, Paras BomSatya, Simran PantNisha, Umar Khan, Dinesh D.C., Subash Gajurel, Uttam K.C., Ashish Purush, Shyam Rai, Roshan Shrestha, Santosh Baniya, Aron Kan, Sashan Kandel, Prabin KhatiwadaWarden","Romance,Comedy",2h 45m,Sashan Kandel,"Aaron Kan Films,Samman Entertainment","23 Falgun, 2081, 7 March, 2025",https://img.youtube.com/vi/COoyS1Yy6Rc/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/hostel-3
Laaj Sharanam(2025),"PLOT Laaj Sharanam is a touching Nepali comedy-drama that delves into the interconnected lives of diverse characters within a rural community. The film masterfully explores themes of love, family, and societal values, blending humor and emotional depth to capture the essence of relationships and cultural dynamics. Experience an engaging and relatable cinematic journey with Laaj Sharanam.","Harish Niraula, Arjun Ghimire, Sagar Lamsal, Kamal Mani Nepal, Mala Limbu, Bijay Baral, Mukunda Shrestha, Sitaram Kattel, Arpan Thapa, Vijay Lama, Priyana Acharya, Mahesh Tripathi","Comedy,Drama",2h 41m,Kumar Kattel,JPT Creation,"14 Falgun, 2081, 26 February, 2025",https://img.youtube.com/vi/4QBhORxsrkk/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/laaj-sharanam
Mayabi(2025),"PLOT Mayavi is a romantic drama directed by Diwakar Bhattarai. The movie stars Paul Shah, Deepika Prasain, Prasant Tamrakar, and Karishma Shrestha. The story revolves around Joy, a happy-go-lucky and kind-hearted individual who falls in love with Arya, a doctor bound by cultural norms. As their relationship develops, they face various challenges and obstacles that test their love and commitment to each other. The film explores whether Joy and Arya will realize and admit their love for each other before it's too late.","Paul Shah, Deepika PrasainArya, Sushil Shitaula, Karishma Shrestha, Samim Khan, Rajaram Poudyal, Prasant Tamrakar, Laxmi Giri, Rabi Dangol, Sangita Silwal, Anshu Maharjan","Drama,Romance",2h 21m,Diwakar Bhattrai,Creative Cine Arts,"14 Falgun, 2081, 26 February, 2025",https://img.youtube.com/vi/MfMcDzDwwOM/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/mayabi
Feri Resham Filili(2025),"PLOT Resham’s supposed victory in winning the DV lottery to the USA sparks jealousy, suspicion, and change among the villagers, especially in the eyes of his old frenemy Hajmola, who believes it’s all a lie. As Resham embarks on his journey to America, unforeseen circumstances keep him stranded, leading to an unexpected reunion with his unreliable best friend Hariya, whose shortcuts and lies complicate their survival. Will Resham ever make it to the USA, and will Hariya’s dream of becoming a movie star ever be fulfilled? Together, they must navigate the trails of friendship, survival, and the harsh realities of chasing dreams in a world that idolizes foreign success. It’s a sequel to the blockbuster movie “RESHAM FILILI (2015)”.","Vinay ShresthaResham, Supuspa BhattaMunal, Kameshor ChaurasiyaHariya, Neer Bikram ShahJwala Singh (Munal's Father), Laxmi GiriResham's Mother, Prakash Ghimire, Rabindra JhaDhaniram, Shishir BangdelDorge Don, Mahesh Tripathi, Avon Raj Upreti, Laxminath Timilsina, Suresh Aryal, Ramesh Adhikari, Sajan Thapa, Bikash Joshi, Bhishma Joshi, Mexam GaudelHajmola, Prakash DahalMurari, Sara AdhikariSita, Aditya MishraMishra Bhaiya, Kajal KarnaRubina, Rizoon PariyarChankhe","Comedy,Drama,Action",2h 22m,Niroj Maharjan,Cinema Arts,"14 Falgun, 2081, 26 February, 2025",https://img.youtube.com/vi/UbxFWB0YijI/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/feri-resham-filili
Tandavam(2025),"PLOT Tandavam tells the story of a simple, loving couple eagerly awaiting their first child. However, their lives take a dark and mysterious turn, leading to a series of events that unleashes a brutal massacre.","Ankit Khadka, Puskar Gurung, Prem Subba, Anoj Pandey, Junim Ghataraj","Crime,Thriller",2h 0m,Junim Ghataraj,Singhadevi Production,"9 Falgun, 2081, 21 February, 2025",https://img.youtube.com/vi/Er6WmPoO2fI/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/tandavam
Dukhi Aatma(2025),"PLOT Dukhi Aatma follows the poignant journey of a struggling poet whose love life is disrupted by erectile dysfunction. He tries various methods to overcome this problem, but the situation proves to be more challenging than he expected.","Dayahang RaiChewang, Anchal SharmaAnamika, Anoop Bikram Shahi, Buddhi Tamang, Puskar Gurung, Kabita Ale, Shishir Bangdel, Lokendra Lekhak, Ankit Khadka, Lunibha Tuladhar, Aarati Acharya, Nima Pandey, Rear Rai","Drama,Romance",2h 20m,Dipendra Lama,Clock Work Creation,"2 Falgun, 2081, 14 February, 2025",https://img.youtube.com/vi/aN9lvWVlicM/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/dukhi-aatma
Rangi(2025),"PLOT In the movie Rangi, Pawan, a father, gets a chance to regain his old life after discovering the unconditional love of his six-year-old daughter, Kavya. Motivated by her love, Pawan embarks on a journey of honesty and hard work, leaving his past life behind. Along the way, he faces many difficulties, but these struggles inspire Kavya to help her father overcome his hardships. Together, Pawan and Kavya begin their own paths toward success, proving the power of love, determination, and family.","Salon BasnetPawan, Namrata Shrestha, Dilip Rayamajhi, Aayushi Dhakal, Bishal Pahari, Uttam K.C., Sumeen Gurung, Sushant Kaji Shrestha, Shahil Khan, Jayanti Rayamajhi, Aaisma KC, Dhruv Budhathoki, Angel KC, Aarogya Shrestha","Drama,Family",2h 19m,Suresh Neupane,Salon Salina Films,"2 Falgun, 2081, 14 February, 2025",https://img.youtube.com/vi/zdHTCgiD3fI/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/rangi
Sarang(2025),"PLOT 'Sarang' is a beautiful film about a young boy caught in the emotional mess of his parents. The movie shows the complexities of family relationships and how parental fights affect a child’s life. Starring Reecha Sharma and Utpal Jha, the film brings the characters to life. Written and directed by Prashant Tamang, ‘Sarang’ is a love, pain and resilience movie set in Nepali culture.","Reecha Sharma, Utpal Jha, Aditya Karki, Samrat Thapa, Sameer Mani Dixit","Drama,Family",2h 8m,Prashant Tamang,Darshan Buddha Films,"25 Magh, 2081, 7 February, 2025",https://img.youtube.com/vi/h8dFlyJtjt8/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/sarang
Mummy(2025),"PLOT Mummy is a Nepali horror movie starring Priyanka Karki, Deeya Maskey, and Sulakshyan Bharati, directed by Samar Niraula.","Priyanka Karki, Deeya Maskey, Sulakshyan Bharati","Thriller,Horror",2h 0m,Samar Niraula,So25,"25 Magh, 2081, 7 February, 2025",https://img.youtube.com/vi/CzYK0yOZqyE/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/mummy
Juna(2025),Plot not found,"Ashmita Dahal, Deshbhakta Khanal, Rashmi Bhatta, Kamal Bohara",Drama,,Jiwan Century,Godawari Films Production & Research,"25 Magh, 2081, 7 February, 2025",https://img.youtube.com/vi/KoExq2KUW_I/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/juna
Aktor: Take One(2025),"PLOT Aktor: Take One is a Nepali movie directed by Rajan Bhusal. The film stars Pradeep Khadka, Rajballav Koirala, Anna Sharma, Divya Rayamajhi, and Divya Dev. The story follows Kushal Khadka, a struggling theatre actor with big dreams of becoming a superstar. He believes that theatre is too small a stage for his ambitions and aspires to achieve stardom. Kushal's journey takes a dramatic turn when he lands his debut film role, only to discover that the movie is a front for a gold smuggling operation. He gets entangled in the operation, leading to a series of events involving deception, romance, and a love triangle.","Pradeep KhadkaKushal, Anna Sharma, Raj Ballav Koirala, Dibya Rayamajhi, Sushil Shitaula, Divya Dev","Romance,Action",2h 26m,Rajan Bhusal,"Adhreet Films,A Moti Film","18 Magh, 2081, 31 January, 2025",https://img.youtube.com/vi/Cowe_Hemr4o/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/aktor
Missing: Keti Harayeko Suchana(2025),Plot not found,"Najir Husen, Shristi Shrestha, Sanjay Gupta, Ram Narayan Thakur, Madan Thakur, Rajina Rimal","Drama,Romance",2h 41m,Dipendra Gauchan,TRI-CITY PICTURES PVT. LTD.,"11 Magh, 2081, 24 January, 2025",https://img.youtube.com/vi/Yulfs-VhJgM/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/keti-harayeko-suchana
Firfire Firiri(2025),Plot not found,"Shankar Sedai, Manoj Kumar Adhikari, Sandip Shrestha, Rabina K.C., Bhawana Upreti","Comedy,Horror",2h 0m,Nabin Bhatt,Bindhyabasini Creation,"4 Magh, 2081, 17 January, 2025",https://img.youtube.com/vi/17g8Cx0jwmE/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/firfire-firiri
Actor(2025),Plot not found,"Saroj Khanal, Krishna Malla, Prince Thapa, Siwani Giri","Drama,Action,Romance",,Madan Ghimire,Nepali Diaspora Entertainment,"4 Magh, 2081, 17 January, 2025",https://img.youtube.com/vi/25hFc_PhVYs/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/actor
Karsang(2025),Plot not found,"Dayahang Rai, Srijana Ningleku, Jitu Nepal, Buddhi Tamang, Doma Lama Hyalmo, Surbir Pandit",Drama,2h 6m,Yam Sherpa,Yarsa Films,"26 Paush, 2081, 10 January, 2025",https://img.youtube.com/vi/RG2gWFvZL7I/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/karsang
Guleli(2024),Plot not found,"Kundoon Shakya, Divya Dev, Karma Shakya, Lunibha Tuladhar","Action,Drama,Superhero",56m 53s,Aneel Neupane,Jazz Production,"10 Paush, 2081, 25 December, 2024",,,,https://www.thefilmnepal.com/movie/guleli
Devwani(2024),Plot not found,"Kundan Bardhwaj, Anuja Lepcha, Dhurba Koirala, Rabindra Jha, Nandu Srivastav, Sunil Thapa","Action,Drama",,Babu Saheb Balami,"Anuja Entertainment,Mousam Films Production House","10 Paush, 2081, 25 December, 2024",https://img.youtube.com/vi/RkVLfVNnESc/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/dev-bani
Bom Bahadur(2024),Plot not found,"Saugat Malla, Anisha Rasaili, Prasant Rai, Bhaskar Pradhan, Mahendra Bagdas, Madan Bhujel, Bharat Basista, Riya Bhujel, Santila Tamang","Action,Drama,Thriller",2h 15m,John Rai,Bista Brothers Films,"5 Paush, 2081, 20 December, 2024",,,,https://www.thefilmnepal.com/movie/bam-bahadur
Satya(2024),Plot not found,"Raj Kalakheti, Priya Sharma, Karan Singh Bohara, Bikash Thapa Magar, Barsha Thing, Suman Khatri","Action,Drama",,Milan Ale Magar,N/A,"14 Mangshir, 2081, 29 November, 2024",https://img.youtube.com/vi/tMHN_DaTwKw/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/satya-2
Tel Visa(2024),"PLOT Tel Visa is a Nepali social drama directed by Shankar Ghimire. The movie stars Barsha Raut, Bipin Karki, Buddhi Tamang, Richa Ghimire, and Pooja Chand. The story follows Radha, a mother from Nepal, who travels to America to help her son Gaurab and pregnant daughter-in-law Bandana. Radha's traditional Nepali parenting style clashes with the new culture, leading to unexpected legal trouble. With the help of Bandana's lawyer sister, the family navigates through cultural misunderstandings and resolves their issues. The film highlights themes of family, culture, and the immigrant experience. It's an emotional journey that showcases the challenges and rewards of adapting to a new life in a foreign land.","Bipin KarkiGaurab, Barsha RautBandana, Gauri Malla, Buddhi Tamang, Richa Ghimire, Puja ChandRadha",Drama,3h 0m,Shankar Ghimire,"Seven Seas Entertainment,Well Done Creations","7 Mangshir, 2081, 22 November, 2024",https://img.youtube.com/vi/D8n4Muslqbw/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/tel-visa
Agnidahan(2024),Plot not found,"Prakash Ghimire, Pramila Tulachan, Maotse Gurung, Anupama Bhandari, Tulasha Chhetri, Bishnu Bastola",Drama,1h 58m,Ghanashayam Lamichhane,N/A,"7 Mangshir, 2081, 22 November, 2024",https://img.youtube.com/vi/18cZBt5iTqw/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/agnidahan
